time,open,high,low,close,Volume,Volume MA
2021-09-21 00:00,43826.7865088,44243.476976,42854.875,43301.6966675,38696.38891,69721.01407679994
2021-09-21 02:00,43300.3130113,43329.74049,40582.843191,43144.1164084,95304.656113,74464.30627444995
2021-09-21 04:00,43142.619908,43494.58299,42905.19035,43061.2819636,50337.930227,76954.56517379994
2021-09-21 06:00,43061.930576,43270.1894845,42522.669196,42923.7595705,68400.17293,80350.69704229994
2021-09-21 08:00,42917.8790502,43666.256725,42891.89454,43632.9416166,165324.54683,88593.71046329995
2021-09-21 10:00,43626.1757723,43837.4713411,43383.88355,43524.2092272,151496.27238,96145.45990079995
2021-09-21 12:00,43524.0801224,43988.9447648,43435.910088,43690.1034206,123158.4684,102280.51239779995
2021-09-21 14:00,43691.2664415,43949.1255373,43196.306664,43485.4749672,245702.28828,114543.63373379994
2021-09-21 16:00,43485.385798,43609.0710852,42492.25,43413.2421849,218979.59579,123488.76436929994
2021-09-21 18:00,43400.16253,43586.5666932,41780.232543,41999.0440392,115802.80615,126612.36436129994
2021-09-21 20:00,41999.811568,43150.2218582,41933.910792,42348.3704336,106440.20216,128009.73856579994
2021-09-21 22:00,42339.1747283,42634.364571,39863.98,41710.9096536,37130.774437,127251.57594664996
2021-09-22 00:00,41693.908788,41962.126023,40537.957575,41039.428839,34384.57529,120632.63705714997
2021-09-22 02:00,41043.2686118,42690.2626098,40864.279502,42525.4728667,128913.79677,119585.52751214996
2021-09-22 04:00,42532.751796,42722.8108672,42221.345786,42396.2225744,67817.73945,116003.60451814994
2021-09-22 06:00,42383.9416105,42571.05965,42151.661443,42372.7932375,55595.75296,107721.17198334995
2021-09-22 08:00,42369.1904922,43129.2126265,42196.127458,42932.17425,133079.52149,104357.02794184996
2021-09-22 10:00,42920.577128,43001.291524,42512.063468,42711.5963505,116213.66708,104534.35471084996
2021-09-22 12:00,42709.780908,42819.39141,42138.546237,42210.9475332,88672.12507,103608.01974534996
2021-09-22 14:00,42223.4195312,42942.78,42148.919384,42576.9158403,144015.82819,109273.35544534994
2021-09-22 16:00,42578.030943,43531.5852434,42451.853328,43460.679086,160094.11301,115343.24165034993
2021-09-22 18:00,43462.7107536,43709.7390475,43166.84574,43412.1038304,91910.13007,115173.51534819992
2021-09-22 20:00,43415.076922,44364.8832528,42992.794,43641.5976953,547566.51609,140034.94464134992
2021-09-22 22:00,43628.3402048,43924.197645,43314.5731762,43559.359943,41537.96286,138691.83413784992
2021-09-23 00:00,43558.9286418,43975.8686,43505.8405056,43842.249503,39763.44208,132413.77890034992
2021-09-23 02:00,43833.72968,44137.7477684,43374.623832,43951.0582108,73975.69913,128537.75023784993
2021-09-23 04:00,43957.2882528,44542.9959885,43791.66336,44438.1131208,73633.28813,126061.49122434994
2021-09-23 06:00,44452.065882,44645.6129616,44095.199869,44246.343888,57913.01729,116672.02767484993
2021-09-23 08:00,44252.0441646,44746.4216244,44083.85243,44564.5869796,185864.58361,115016.27706584994
2021-09-23 10:00,44568.1482788,44627.73219,44145.052,44347.7742847,177187.51517,118085.51251684994
2021-09-23 12:00,44335.702227,44511.291504,43688.506108,43967.5192072,219432.6136,123735.13308884992
2021-09-23 14:00,43953.848848,44517.44604,43700.851095,44376.0565132,235752.23204,133666.20596899994
2021-09-23 16:00,44383.8701478,44599.0260026,44009.547535,44073.7724322,237944.87161,143844.22078499992
2021-09-23 18:00,44071.7307912,45245.49625,43950.052512,45153.7199665,104597.55276,142628.4085844999
2021-09-23 20:00,45153.7232803,45236.02644,44771.314828,45079.0797716,85107.65275,143492.9042494999
2021-09-23 22:00,45080.089575,45122.397761,44792.6663784,44982.152316,46336.48355,143029.94077899988
2021-09-24 00:00,44976.7755246,45293.64951,44692.785737,45169.523763,33061.73574,138029.05149149988
2021-09-24 02:00,45167.79813,45308.885527,44698.463106,44773.895985,80296.66219,136233.20124699987
2021-09-24 04:00,44769.6644724,44878.4910378,44490.81,44600.5896193,57592.92873,134679.24142999988
2021-09-24 06:00,44582.2127232,44704.5921088,44206.365907,44507.8352248,54658.34767,130211.36740399987
2021-09-24 08:00,44508.0091122,45443.398145,44397.342027,45140.5130225,133728.25167,128893.07433699988
2021-09-24 10:00,45131.9529192,45369.8178644,42643.142646,42664.4366176,111076.01631,129851.36864899988
2021-09-24 12:00,42666.983056,42989.9205121,40923.14308,41750.4213584,125756.66327,108760.87600799988
2021-09-24 14:00,41749.7085046,42231.3548668,41061.487158,42069.7536704,167650.95201,115066.52546549989
2021-09-24 16:00,42068.8167424,42926.8728699,41913.173421,42249.001464,162410.9821,121198.9024664999
2021-09-24 18:00,42247.5274485,42675.1411905,42068.77587,42313.228295,107352.4492,122867.73996999991
2021-09-24 20:00,42299.589125,42851.974816,42247.731976,42688.5242058,64544.3995,122413.29553849988
2021-09-24 22:00,42688.159848,43533.061,42624.5641496,43241.93937,24428.93803,120739.09157549989
2021-09-25 00:00,43263.0908,43423.80716,42815.396268,43113.463218,494.19481,111470.57213549987
2021-09-25 02:00,43141.33172,43280.27232,42330.717804,42695.552466,573.97044,102639.89489899986
2021-09-25 04:00,42702.86308,43079.9072,42583.72849,42906.992058,479.95834,91692.26213599986
2021-09-25 06:00,42916.16708,43162.36912,42690.068182,42745.518018,514.0847,79930.35476899987
2021-09-25 08:00,42739.18336,43110.17996,42495.28779,42668.800272,514.10518,68058.81644749986
2021-09-25 10:00,42666.96472,43207.51456,41936.12,42940.236024,819.92357,62869.93498799986
2021-09-25 12:00,42950.7528,43268.86876,42528.004992,42774.238836,532.33522,58641.16911149987
2021-09-25 14:00,42790.0716,43065.3158,42530.336078,42807.529674,524.76087,56350.58297749987
2021-09-25 16:00,42817.13308,43068.949,42446.686404,42970.913748,581.81872,54726.58712649988
2021-09-25 18:00,42970.9112,43049.2594,42638.971714,42892.871868,501.13971,50736.811002499875
2021-09-25 20:00,42900.19272,43125.42768,42729.345224,42960.906576,494.33987,47881.881559499874
2021-09-25 22:00,42968.22732,43099.44444,42670.681512,42974.780688,472.90145,45172.60924849987
