Date,Open,High,Low,Close,Adj Close,Volume
2016-11-14,21.360001,24.000000,19.799999,20.280001,20.280001,15942
2016-11-15,19.799999,21.120001,19.440001,20.639999,20.639999,5117
2016-11-16,21.000000,22.080000,20.760000,21.240000,21.240000,4750
2016-11-17,21.480000,23.040001,19.799999,21.000000,21.000000,6183
2016-11-18,21.000000,21.719999,20.280001,21.360001,21.360001,10958
2016-11-21,21.240000,22.680000,20.520000,22.320000,22.320000,18800
2016-11-22,22.320000,24.959999,22.080000,22.080000,22.080000,8325
2016-11-23,21.600000,23.879999,21.000000,21.480000,21.480000,5317
2016-11-25,22.080000,24.480000,21.360001,23.520000,23.520000,12517
2016-11-28,22.920000,24.719999,22.799999,23.280001,23.280001,6533
2016-11-29,23.280001,31.200001,22.559999,25.799999,25.799999,124325
2016-11-30,25.080000,28.799999,23.040001,24.480000,24.480000,41067
2016-12-01,23.760000,25.320000,22.920000,23.520000,23.520000,17958
2016-12-02,23.040001,25.799999,22.200001,24.959999,24.959999,36908
2016-12-05,25.200001,25.440001,21.600000,22.559999,22.559999,28600
2016-12-06,22.200001,23.280001,20.760000,21.480000,21.480000,8833
2016-12-07,21.480000,23.280001,19.799999,22.440001,22.440001,17458
2016-12-08,22.680000,22.680000,21.120001,21.600000,21.600000,8442
2016-12-09,21.840000,21.840000,20.760000,21.480000,21.480000,3750
2016-12-12,21.480000,21.480000,19.200001,19.320000,19.320000,9542
2016-12-13,20.400000,20.520000,16.559999,17.520000,17.520000,16467
2016-12-14,17.280001,17.400000,16.799999,16.799999,16.799999,4042
2016-12-15,16.799999,16.799999,15.600000,15.840000,15.840000,7258
2016-12-16,16.080000,16.200001,15.600000,16.200001,16.200001,4750
2016-12-19,16.440001,17.639999,16.440001,17.280001,17.280001,7008
2016-12-20,17.280001,19.440001,17.280001,17.879999,17.879999,10900
2016-12-21,17.879999,17.879999,16.799999,17.160000,17.160000,3000
2016-12-22,17.400000,17.400000,15.600000,16.799999,16.799999,10142
2016-12-23,17.280001,18.480000,15.720000,16.559999,16.559999,14900
2016-12-27,16.799999,17.160000,16.080000,16.440001,16.440001,2992
2016-12-28,16.799999,17.040001,15.840000,16.320000,16.320000,4217
2016-12-29,15.840000,16.680000,15.600000,15.720000,15.720000,2775
2016-12-30,15.720000,17.040001,15.600000,16.920000,16.920000,5992
2017-01-03,16.799999,17.520000,16.320000,17.040001,17.040001,1175
2017-01-04,17.400000,17.400000,15.840000,16.920000,16.920000,3475
2017-01-05,16.799999,17.280001,16.200001,16.799999,16.799999,2958
2017-01-06,17.280001,20.040001,15.840000,19.559999,19.559999,54692
2017-01-09,18.480000,18.959999,16.920000,17.400000,17.400000,15425
2017-01-10,17.400000,19.799999,16.080000,19.559999,19.559999,17758
2017-01-11,19.920000,20.280001,16.799999,18.240000,18.240000,7750
2017-01-12,17.520000,18.600000,17.040001,18.120001,18.120001,3242
2017-01-13,18.480000,18.480000,17.160000,17.879999,17.879999,3917
2017-01-17,18.000000,18.360001,17.040001,17.520000,17.520000,4333
2017-01-18,17.760000,18.000000,17.040001,17.639999,17.639999,3433
2017-01-19,17.160000,18.000000,16.799999,17.400000,17.400000,6167
2017-01-20,17.400000,19.559999,16.440001,16.559999,16.559999,35542
2017-01-23,16.559999,17.280001,15.960000,16.200001,16.200001,2108
2017-01-24,16.920000,16.920000,15.960000,16.799999,16.799999,7883
2017-01-25,17.040001,17.400000,16.080000,16.920000,16.920000,14300
2017-01-26,17.040001,17.400000,16.559999,17.040001,17.040001,1725
2017-01-27,17.040001,17.160000,16.440001,16.559999,16.559999,1608
2017-01-30,16.559999,16.920000,16.200001,16.680000,16.680000,2833
2017-01-31,16.680000,16.680000,16.320000,16.440001,16.440001,1942
2017-02-01,16.320000,18.120001,16.320000,16.920000,16.920000,16733
2017-02-02,17.040001,17.520000,16.200001,16.680000,16.680000,5275
2017-02-03,16.559999,16.559999,15.840000,16.200001,16.200001,392
2017-02-06,16.080000,17.879999,16.080000,17.400000,17.400000,5825
2017-02-07,17.160000,17.760000,16.680000,17.160000,17.160000,1033
