time,open,high,low,close,K,D,RSI
2021-02-26T22:00:00+01:00,232.3,232.55,232.3,232.41,87.26243854812502,90.25919902662844,46.51810292171724
2021-03-01T12:00:00+01:00,235.33,235.33,235.33,235.33,87.89758053268345,89.4573944228104,54.71234951701193
2021-03-01T14:00:00+01:00,234.91,236.27,233.17,235.6,94.05027436050193,89.73676448043669,55.39291769582552
2021-03-01T16:00:00+01:00,235.6,237.24,234.82,236.94,99.99999999999996,93.98261829772832,58.70933691800895
2021-03-01T18:00:00+01:00,236.93,237.11,236.07,236.55,98.08237624201023,97.37755020083723,57.37239338209984
2021-03-01T20:00:00+01:00,236.58,237.46,236.28,236.96,97.70147765577327,98.5946179659277,58.443779140793964
2021-03-01T22:00:00+01:00,237.33,237.33,237.33,237.33,97.7014776557733,97.8284438511855,59.434640293620596
2021-03-02T12:00:00+01:00,236.12,236.12,236.1,236.1,92.25008067120653,95.88434532758426,54.76019766240906
2021-03-02T14:00:00+01:00,236.07,237.42,234.14,234.9,77.60024513184199,89.18393448627383,50.58059544340568
2021-03-02T16:00:00+01:00,234.87,235.9,233.47,234.27,55.33839000508112,75.06290526937644,48.48817123734442
2021-03-02T18:00:00+01:00,234.18,235.74,234.01,235.25,43.57809655678443,58.83891056456907,51.82660857790722
2021-03-02T20:00:00+01:00,235.25,236.15,233.5,233.91,28.126961130163966,42.34781589734306,47.31151721697469
2021-03-02T22:00:00+01:00,234.12,234.12,233.87,234.05,21.19290876929159,30.965988818746553,47.822964730198834
2021-03-03T12:00:00+01:00,234.81,234.81,234.45,234.45,14.261412716563862,21.19376087200636,49.33617741002175
2021-03-03T14:00:00+01:00,234.03,234.03,230.54,230.75,11.409948935452483,15.621423473769203,38.27774961588355
2021-03-03T16:00:00+01:00,230.68,231.56,229.43,230.68,7.272523089752393,10.981294913922802,38.10373870550947
2021-03-03T18:00:00+01:00,230.64,230.64,228.5,228.87,-1.1842378929335004e-14,6.227490675068179,33.82222381146103
2021-03-03T20:00:00+01:00,228.92,228.995,227.32,227.44,-1.2434497875801753e-14,2.4241743632506796,30.870872435609385
2021-03-03T22:00:00+01:00,227.56,227.56,227.39,227.39,-1.3026616822268503e-14,-1.224699354275395e-13,30.769769990496897
2021-03-04T00:00:00+01:00,226.6,226.6,226.6,226.6,-1.3026616822268503e-14,-1.2286468139185067e-13,29.145614011880255
2021-03-04T12:00:00+01:00,227.1,227.1,227.1,227.1,3.2021298426614506,1.067376614220365,31.606250693321456
2021-03-04T14:00:00+01:00,227.4,229.18,226.05,226.92,6.201336127207266,3.134488656622791,31.18636345514558
2021-03-04T16:00:00+01:00,226.84,232.48,226.05,231.09,34.37596324977549,14.593143073214625,48.31647095188443
2021-03-04T18:00:00+01:00,231.15,231.59,224.28,224.35,37.881664854713215,26.15298807723188,33.70982267026491
2021-03-04T20:00:00+01:00,224.37,227.79,224.36,226.83,54.12542863655502,42.127685580347794,40.801406224698404
2021-03-04T22:00:00+01:00,227.05,227.05,225.82,225.82,42.17492674303858,44.727340078102166,38.972840882376964
2021-03-05T12:00:00+01:00,226.53,227.56,226.53,227.53,59.302118698142074,51.867491359245115,43.58289054513389
2021-03-05T14:00:00+01:00,227.52,229.85,225.01,228.11,67.79602919491755,56.42435821203262,45.097807089031726
2021-03-05T16:00:00+01:00,228.12,229.6,226.49,228.59,81.53994945158374,69.54603244821435,46.38100739522737
2021-03-05T18:00:00+01:00,228.65,232.9,228.25,232.11,91.03825938221439,80.12474600957178,54.73596318130489
2021-03-05T20:00:00+01:00,232.29,233.27,230.82,231.58,94.87767086015431,89.15195989798404,53.38706417610676
2021-03-05T22:00:00+01:00,231.73,231.73,231.6,231.65,96.69799896331843,94.20464306856228,53.54988140190852
2021-03-08T12:00:00+01:00,228.56,229.42,228.56,228.75,85.74840483666476,92.44135822004573,46.32984507236843
2021-03-08T14:00:00+01:00,229.75,232.3,229.38,230.07,80.31649323182475,87.58763234393588,49.6570542860183
2021-03-08T16:00:00+01:00,230.12,233.36,229.495,230.25,75.31537790387887,80.46009199078937,50.11123974933464
2021-03-08T18:00:00+01:00,230.21,231.39,229.07,229.18,74.59556519483634,76.74247877684655,47.37508554706973
2021-03-08T20:00:00+01:00,229.13,230.16,227.17,227.45,63.594640315433985,71.16852780471629,43.26207540110215
2021-03-08T22:00:00+01:00,227.39,228.38,227.39,228.01,49.40207006775986,62.530758526009954,44.92878910647372
2021-03-09T00:00:00+01:00,228.6,228.6,227.95,227.95,40.01188915802866,51.00286651374072,44.77701746541962
2021-03-09T12:00:00+01:00,232.17,232.17,231.62,231.76,58.20176693450134,49.205242053429835,55.13997727868321
2021-03-09T14:00:00+01:00,232,234.08,231.72,233.74,78.94041225457259,59.05135611570075,59.4035787514011
2021-03-09T16:00:00+01:00,233.79,234.66,232.57,232.92,95.01152127079195,77.38456681995518,56.9879323677889
2021-03-09T18:00:00+01:00,232.91,235.11,232.87,234.83,95.01152127079195,89.65448493205206,60.96929174288103
2021-03-09T20:00:00+01:00,234.84,235.37,233.42,233.62,88.19406211694157,92.73903488617505,57.347745018726954
2021-03-09T22:00:00+01:00,233.3,233.5,233.3,233.5,85.68452887590014,89.63003742121111,56.98622414016739
2021-03-10T12:00:00+01:00,233.08,233.1,233.08,233.1,75.81262815759631,83.23040638347923,55.72517529117398
2021-03-10T14:00:00+01:00,233.08,237,232.45,235.07,81.51289485695098,81.00335063014903,60.37582068826629
2021-03-10T16:00:00+01:00,235.33,236.01,233.84,235.13,88.14982117647538,81.82511473034077,60.51186884569533
2021-03-10T18:00:00+01:00,235.12,235.13,232.24,232.77,82.69707428788742,84.11993010710448,52.82858622677831
2021-03-10T20:00:00+01:00,232.76,233.53,232.05,232.41,66.45766758476412,79.10152101637554,51.74918005563614
2021-03-10T22:00:00+01:00,231.87,232.55,231.87,232.55,49.181033082246294,66.11192498496584,52.15856355820658
2021-03-11T12:00:00+01:00,235.6,235.99,235.5,235.98,64.38235995863691,60.007020208549,60.90938645010987
2021-03-11T14:00:00+01:00,236,236.73,234,235.15,71.5035530344817,61.688982025121526,58.13814412573312
2021-03-11T16:00:00+01:00,235.25,238.86,234.77,238.68,89.64127318772461,75.17572872694764,65.35725719999706
2021-03-11T18:00:00+01:00,238.69,239.15,237.78,238.18,85.66118758802405,82.26867127007668,63.682073103115734
2021-03-11T20:00:00+01:00,238.22,238.48,236.96,237.18,83.63214790257925,86.3115362261092,60.35039147600266
2021-03-11T22:00:00+01:00,237.2,237.2,237.2,237.2,71.47702040854792,80.25678529971697,60.39501982084744
2021-03-12T12:00:00+01:00,233.62,234.51,233.62,234.51,42.687175985544094,65.93211476555699,51.928840386644175
2021-03-12T14:00:00+01:00,234.22,235.43,233.39,235.35,27.359391469478812,47.17452928785684,54.092941251599946
2021-03-12T16:00:00+01:00,235.25,235.37,233.24,234.58,6.28425756490993,25.443608339977516,51.79125838081414
2021-03-12T18:00:00+01:00,234.62,235.53,234.32,235.02,8.960486522111012,14.201378518833152,53.02139028981112
2021-03-12T20:00:00+01:00,235.04,235.8,234.22,235.8,11.68106332812151,8.97526913838072,55.203595823200445
2021-03-15T13:00:00+01:00,236.49,236.49,233.42,234.01,11.577991393388395,10.739847081206875,49.51887227026954
2021-03-15T15:00:00+01:00,234.02,234.135,231.82,232.8,8.461679856059556,10.573578192523057,46.065563636498226
2021-03-15T17:00:00+01:00,232.76,233.13,232.5,233.01,1.1990400753642996,7.079570441603985,46.759509047626715
2021-03-15T19:00:00+01:00,233.05,235.02,232.93,234.83,12.260753091793328,7.30715767440563,52.46753897050768
2021-03-16T13:00:00+01:00,235.8,238.3,235.8,238.3,38.14007582153206,17.199956329563133,61.04324254848852
2021-03-16T15:00:00+01:00,238.3,240.05,238.16,239.59,70.24693536767556,40.21592142700022,63.66757451579337
2021-03-16T17:00:00+01:00,239.59,239.84,237.75,238.02,82.73674678945964,63.70791932622232,58.50218931806061
