Date,Open,High,Low,Close,Volume
2003-09-11 00:00:00,102.1,102.76,101.84,102.26,38038300
2003-10-01 00:00:00,100.24,102.18,100.2,102.08,65078900
2003-10-02 00:00:00,101.93,102.56,101.63,102.45,44505400
2003-10-03 00:00:00,103.67,104.28,103.08,103.39,48319400
2003-10-06 00:00:00,103.482,103.99,103.2,103.86,20212600
2003-10-07 00:00:00,103.26,104.31,102.91,104.26,42228400
2003-10-08 00:00:00,104.33,104.39,103.41,104,30824800
2003-10-09 00:00:00,104.88,105.22,103.83,104.28,38557600
2003-10-10 00:00:00,104.27,104.6,103.91,104.57,22425800
2003-10-13 00:00:00,104.715,105.29,104.51,104.9,23728700
2003-10-14 00:00:00,104.8,105.43,104.36,105.27,38470800
2003-10-15 00:00:00,105.86,105.89,104.64,104.99,39813900
2003-10-16 00:00:00,104.68,105.73,104.65,105.41,32425400
2003-10-17 00:00:00,105.47,105.63,103.98,104.26,32005400
2003-10-20 00:00:00,104.447,105.04,103.94,105.04,27736700
2003-10-21 00:00:00,104.82,105.28,104.6,104.86,26658900
2003-10-22 00:00:00,104.03,104.19,103.19,103.54,33999000
2003-10-23 00:00:00,102.89,103.95,102.84,103.35,44982000
2003-10-24 00:00:00,102.83,103.58,102.18,103.58,50688100
2003-10-27 00:00:00,103.74,104.18,103.27,103.63,32309400
2003-10-28 00:00:00,103.98,105.15,103.82,105.04,34719700
2003-10-29 00:00:00,104.77,105.43,103.87,105.18,29847900
2003-10-30 00:00:00,105.79,105.97,104.8,105.4,38607000
2003-10-31 00:00:00,105.4,105.74,105.22,105.3,25765000
2003-11-03 00:00:00,105.75,106.61,105.71,105.99,36751697
2003-11-04 00:00:00,105.99,106.27,105.58,105.76,31243465
2003-11-05 00:00:00,105.5,105.97,104.9,105.84,33498500
2003-11-06 00:00:00,105.6,106.44,105.1,106.4,28232300
2003-11-07 00:00:00,106.64,106.72,105.57,105.66,31519400
2003-11-10 00:00:00,105.74,105.84,105.01,105.18,25364400
2003-11-11 00:00:00,105.09,105.33,104.8,105.15,26269400
2003-11-12 00:00:00,105.23,106.47,105.16,106.33,27998100
2003-11-13 00:00:00,106.01,106.54,105.78,106.36,29568100
2003-11-14 00:00:00,106.4,106.95,105.29,105.46,48339400
2003-11-17 00:00:00,104.91,105.14,104.04,104.93,44237400
2003-11-18 00:00:00,105.24,105.45,103.7,103.84,40954700
2003-11-19 00:00:00,104.03,105.01,103.92,104.72,29759900
2003-11-20 00:00:00,104.02,105.24,103.75,103.75,53361300
2003-11-21 00:00:00,104.24,104.33,103.62,104.21,29880100
2003-11-24 00:00:00,104.69,105.78,104.68,105.59,28660000
2003-11-25 00:00:00,105.73,106.42,105.45,105.99,37514900
2003-11-26 00:00:00,106.42,106.45,105.39,106.37,33053400
2003-11-28 00:00:00,106.28,106.66,106.201,106.45,10507800
2003-12-01 00:00:00,106.85,107.68,106.8,107.6,38358700
2003-12-02 00:00:00,107.38,107.77,107.07,107.33,34103300
2003-12-03 00:00:00,107.65,108.08,107.08,107.16,38541100
2003-12-04 00:00:00,107.17,107.72,106.94,107.6,35890700
2003-12-05 00:00:00,107.12,107.8,106.62,106.85,28346500
2003-12-08 00:00:00,106.74,107.64,106.68,107.57,32397500
2003-12-09 00:00:00,107.9,107.93,106.54,106.74,42074700
2003-12-10 00:00:00,106.77,106.98,105.98,106.73,36749400
2003-12-11 00:00:00,106.68,108.1,106.67,107.93,43506700
2003-12-12 00:00:00,107.97,108.2,106.65,108.14,33445700
2003-12-15 00:00:00,109.17,109.23,107.48,107.6,37922400
2003-12-16 00:00:00,107.68,108.5,107.52,108.16,32626500
2003-12-17 00:00:00,108.06,108.5,107.8,108.5,23079900
2003-12-18 00:00:00,108.55,109.73,108.39,109.72,29659700
2003-12-19 00:00:00,109.3,109.37,108.58,108.9,41034200
2003-12-22 00:00:00,108.79,109.66,108.78,109.66,27437200
2003-12-23 00:00:00,109.48,109.95,109.38,109.73,24405700
2003-12-24 00:00:00,109.52,109.88,109.43,109.62,7946400
2003-12-26 00:00:00,109.71,110.08,109.63,109.7,8308400
2003-12-29 00:00:00,110.1,111.27,110.09,111.16,22394900
2003-12-30 00:00:00,111.09,111.27,110.88,111.18,19437800
2003-12-31 00:00:00,111.22,111.52,110.84,111.28,30338100
2004-01-02 00:00:00,111.74,112.19,110.73,111.23,37945400
2004-01-05 00:00:00,111.69,112.52,111.59,112.44,27964400
2004-01-06 00:00:00,112.16,112.73,112,112.55,20450200
2004-01-07 00:00:00,112.39,113.06,111.89,112.93,29904400
2004-01-08 00:00:00,113.25,113.41,112.77,113.38,36694100
2004-01-09 00:00:00,112.83,113.5,112.27,112.39,53727400
2004-01-12 00:00:00,112.55,113.25,112.36,113.22,33000900
2004-01-13 00:00:00,113.09,113.23,111.76,112.56,54150700
2004-01-14 00:00:00,112.76,113.66,112.67,113.5,29744500
2004-01-15 00:00:00,113.57,114.06,112.58,113.78,38113700
2004-01-16 00:00:00,114.04,114.31,113.63,114.23,31825200
2004-01-20 00:00:00,114.53,114.65,113.82,114.2,29866400
2004-01-21 00:00:00,114.13,115.3,113.72,115.1,30590000
2004-01-22 00:00:00,115.14,115.38,114.58,114.8,29890200
2004-01-23 00:00:00,115,115.37,113.95,114.43,49572200
2004-01-26 00:00:00,114.39,115.93,114.39,115.87,30473800
2004-01-27 00:00:00,115.75,116.5,114.65,114.68,34951500
2004-01-28 00:00:00,114.98,115.28,112.94,113.37,52728600
2004-01-29 00:00:00,113.56,113.85,112.56,113.48,59981200
2004-01-30 00:00:00,113.52,113.72,113.09,113.48,30969700
2004-02-02 00:00:00,113.7,114.68,113.12,113.97,38719000
2004-02-03 00:00:00,113.74,114.14,113.44,113.78,25102200
2004-02-04 00:00:00,113.19,113.73,112.79,112.85,39313700
2004-02-05 00:00:00,113.17,113.54,112.78,113.18,34866700
2004-02-06 00:00:00,113.42,114.7,113.2,114.45,37136600
2004-02-09 00:00:00,114.67,114.87,114.29,114.48,24541200
2004-02-10 00:00:00,114.28,115.14,114.26,114.85,27927000
2004-02-11 00:00:00,114.85,116.39,114.17,116.07,42489800
2004-02-12 00:00:00,115.97,116.27,115.58,115.65,27562800
2004-02-13 00:00:00,115.82,116.2,114.75,115.13,43994800
2004-02-17 00:00:00,115.85,116.43,115.77,116.17,23036800
2004-02-18 00:00:00,116.2,116.6,115.35,115.66,28645200
2004-02-19 00:00:00,116.33,116.39,115.06,115.23,50693100
2004-02-20 00:00:00,115.48,115.5616,114.32,114.88,46444100
2004-02-23 00:00:00,115.22,115.26,114.17,114.59,35022000
2004-02-24 00:00:00,114.27,114.99,113.03,114.36,42936100
2004-02-25 00:00:00,114.46,115.06,114.32,114.87,30924400
2004-02-26 00:00:00,114.61,115.29,114.34,114.94,29366700
2004-02-27 00:00:00,115.19,115.74,114.63,115.02,38845300
2004-03-01 00:00:00,115.43,116.34,115.25,116.16,32529300
2004-03-02 00:00:00,115.94,116.23,115.23,115.48,38200900
2004-03-03 00:00:00,115.25,115.87,114.92,115.69,31231800
2004-03-04 00:00:00,115.72,116.1,115.52,115.99,20986000
2004-03-05 00:00:00,115.42,116.95,115.28,116.38,55059400
2004-03-08 00:00:00,116.34,116.62,114.91,114.96,38402900
2004-03-09 00:00:00,115.1,115.21,114.24,114.5,39488700
2004-03-10 00:00:00,114.72,114.77,112.56,112.58,66927000
2004-03-11 00:00:00,112.4,113.27,111.1,111.12,88445000
2004-03-12 00:00:00,111.73,112.71,111.58,112.58,53507100
2004-03-15 00:00:00,112.27,112.35,110.9,111.2,56680400
2004-03-16 00:00:00,111.78,112.06,110.84,111.79,59470700
2004-03-17 00:00:00,112.18,113.26,112.1,113.04,41477800
2004-03-18 00:00:00,112.67,113.27,111.93,113.07,59242600
2004-03-19 00:00:00,112.41,112.57,111.04,111.06,47516300
2004-03-22 00:00:00,110.54,110.57,109.1,109.65,62031000
2004-03-23 00:00:00,110.25,110.4,109.36,109.52,53798900
2004-03-24 00:00:00,109.64,110.14,108.85,109.55,51516000
2004-03-25 00:00:00,110.08,111.3,109.79,111,49428600
2004-03-26 00:00:00,110.955,111.79,110.8,111.03,37396000
2004-03-29 00:00:00,111.63,112.74,111.58,112.59,42810000
2004-03-30 00:00:00,112.3,113.07,112.22,112.97,38835000
2004-03-31 00:00:00,112.99,113.4,112.38,113.1,48213500
2004-04-01 00:00:00,113.07,113.87,113.05,113.78,44223800
2004-04-02 00:00:00,114.81,114.84,113.91,114.64,50452100
2004-04-05 00:00:00,114.46,115.38,114.44,115.27,30176200
2004-04-06 00:00:00,114.83,115.18,114.62,114.9,28462200
2004-04-07 00:00:00,114.94,114.98,114.11,114.63,44199100
2004-04-08 00:00:00,115.41,115.41,113.74,114.37,45867200
2004-04-12 00:00:00,114.58,115.08,114.57,114.82,23087100
2004-04-13 00:00:00,115.26,115.3,113.07,113.21,56046400
2004-04-14 00:00:00,112.61,113.64,112.56,113.39,61489600
2004-04-15 00:00:00,113.45,113.78,112.36,112.96,61551800
2004-04-16 00:00:00,113.43,114.05,112.98,113.83,46212900
2004-04-19 00:00:00,113.55,113.99,113.27,113.83,28083300
2004-04-20 00:00:00,114.08,114.32,111.78,111.92,53262900
2004-04-21 00:00:00,112.2,112.95,111.87,112.67,49820300
2004-04-22 00:00:00,112.48,114.67,112.44,114.25,61917800
2004-04-23 00:00:00,114.42,114.57,113.79,114.36,29335700
